FID	No	Source	Id	river	station	country	x	y	area	altitude	d_start	d_end	orig_lat	orig_lon	areaold	area_1	lat	lon	newlat	newlon	newarea
0	1	DE	10062000	Danube	Schwabelweis	DE	0	0	35399	324.49	1991	2021	49.023585	12.13873	35440	0	49.025	12.14167	49.0229	12.1387	35338
1	2	DE	10088003	Danube	Hofkirchen	DE	0	0	47496	299.6	1990	2021	48.676627	13.115212	47586	0	48.675	13.10833	48.6763	13.1137	47488
2	95	SI	1060	Mur	Gornja_Radgona	SI	0	0	10197	202.34	1991	2021	46.6811	15.9956	10338	0	46.675	15.99167	46.6821	15.9954	10220
3	96	SI	2110	Draoe	Ptuj	SI	0	0	13664	214.62	2008	2021	46.4169	15.8675	13677	0	46.40833	15.875	46.4171	15.8679	13595
4	98	SI	3420	Saoe	Radooejica	SI	0	0	908	408.09	1991	2021	46.34	14.1654	891	0	46.34167	14.15833	46.3396	14.1662	900
5	99	SI	3530	Saoe	Medno	SI	0	0	2201	300.27	1991	2021	46.1225	14.4405	2182	0	46.125	14.44167	46.1229	14.4404	2162
6	101	SI	3725	Saoe	Hrastnik	SI	0	0	5177	193.85	1993	2021	46.122	15.0906	4531	0	46.125	15.075	46.1221	15.0904	5233
7	102	SI	3900	Saoe	Jesenice_na_Dolenjskem	SI	0	0	10882	129.43	1991	2021	45.8605	15.6925	9910	0	45.85833	15.69167	45.8604	15.6929	10629
8	103	SI	5078	Ljubljanica	Moste	SI	0	0	1762	281.29	1991	2021	46.0554	14.5444	1118	0	46.05833	14.54167	46.0554	14.5446	1826
9	107	SI	7160	Krka	Podbofcje	SI	0	0	2238	146.32	1991	2021	45.8644	15.4555	1839	0	45.875	15.45833	45.8646	15.4562	1790
10	155	AT	4001092	Ager	Fischerau_Ager	AT	0	0	1256	348	1990	2021	48.085815	13.838047	1235	0	48.09167	13.84167	48.0854	13.8379	1251
11	156	AT	10001019	Danube	Achleiten_Donau	AT	0	0	76653	288.04	1991	2021	48.582691	13.503336	76652	0	48.59167	13.50833	48.5838	13.5029	76415
12	158	AT	10001016	Danube	Kienstock	AT	0	0	95970	194	1991	2021	48.382792	15.46122	95950	0	48.375	15.45833	48.3837	15.4612	95701
13	159	AT	10001035	Danube	Korneuburg	AT	0	0	101537	159.87	1996	2021	48.329485	16.332121	101531	0	48.325	16.325	48.3296	16.3304	101274
14	160	AT	10001023	Danube	Linz	AT	0	0	79490	247.74	1990	2000	48.30692	14.284912	79484	0	48.30833	14.29167	48.3079	14.2846	79253
15	161	AT	10001036	Danube	Wildungsmauer	AT	0	0	103993	139.48	1996	2021	48.114803	16.804302	104029	0	48.125	16.80833	48.1171	16.8046	103665
16	163	AT	2001077	Draoe	Amlach	AT	0	0	4790	522.79	2008	2021	46.77402	13.52317	4795	0	46.775	13.525	46.7737	13.5229	4774
17	164	AT	2001073	Draoe	Laoemuend_Ort	AT	0	0	11052	338	2008	2021	46.64062	14.942619	11063	0	46.65833	14.925	46.6396	14.9429	11008
